negeri,kodparlimen,namaparlimen,calon,parti,undi
W.P KUALA LUMPUR,P.124,BANDAR TUN RAZAK,DATO KAMARUDIN JAFFAR,PERIKATAN NASIONAL (PN),"33,659"
W.P PUTRAJAYA,P.125,PUTRAJAYA,TENGKU ADNAN BIN TENGKU MANSOR,BARISAN NASIONAL (BN),"13,692"
W.P PUTRAJAYA,P.125,PUTRAJAYA,NORAISHAH MYDIN BINTI HAJI ABDUL AZIZ,PAKATAN HARAPAN (PH),"5,988"
W.P PUTRAJAYA,P.125,PUTRAJAYA,DATO' MOHD ROSLI BIN RAMLI,PARTI PEJUANG TANAHAIR (PEJUANG),878
W.P PUTRAJAYA,P.125,PUTRAJAYA,SAMSUDIN PKPKL,BEBAS (PEN),63
W.P PUTRAJAYA,P.125,PUTRAJAYA,DR. RADZI JIDIN (DRJ),PERIKATAN NASIONAL (PN),"16,002"
W.P PUTRAJAYA,P.125,PUTRAJAYA,LIM FICE BEE,BEBAS (POKOK),20
NEGERI SEMBILAN,P.126,JELEBU,AHMAD FAKHRI,PARTI PEJUANG TANAHAIR (PEJUANG),253
NEGERI SEMBILAN,P.126,JELEBU,JALALUDDIN BIN ALIAS,BARISAN NASIONAL (BN),"21,805"
NEGERI SEMBILAN,P.126,JELEBU,DATO' ZULKEFLY OMAR,PAKATAN HARAPAN (PH),"13,680"
NEGERI SEMBILAN,P.126,JELEBU,ZAHARUDDIN BABA SAMION,PERIKATAN NASIONAL (PN),"9,596"
NEGERI SEMBILAN,P.127,JEMPOL,AFFENDY SALLEH,PERIKATAN NASIONAL (PN),"16,722"
NEGERI SEMBILAN,P.127,JEMPOL,TAN SRI KHALID YUNUS,PARTI PEJUANG TANAHAIR (PEJUANG),654
NEGERI SEMBILAN,P.127,JEMPOL,DATO' HAJI SHAMSHULKAHAR BIN HAJI MOHD DELI,BARISAN NASIONAL (BN),"30,138"
NEGERI SEMBILAN,P.127,JEMPOL,NORWANI AHMAT,PAKATAN HARAPAN (PH),"24,281"
NEGERI SEMBILAN,P.128,SEREMBAN,LOKE SIEW FOOK,PAKATAN HARAPAN (PH),"63,916"
NEGERI SEMBILAN,P.128,SEREMBAN,IZZAT LESLY,BEBAS (PEN),373
NEGERI SEMBILAN,P.128,SEREMBAN,FELICIA WONG,BARISAN NASIONAL (BN),"24,584"
NEGERI SEMBILAN,P.128,SEREMBAN,SJN (B) MOHAMAD JANI,PARTI PEJUANG TANAHAIR (PEJUANG),"1,336"
NEGERI SEMBILAN,P.128,SEREMBAN,HAJI FADLI CHE ME,PERIKATAN NASIONAL (PN),"33,075"
NEGERI SEMBILAN,P.129,KUALA PILAH,KAMARULZAMAN KAMDIAS,PARTI PEJUANG TANAHAIR (PEJUANG),406
NEGERI SEMBILAN,P.129,KUALA PILAH,EDDIN SYAZLEE,PERIKATAN NASIONAL (PN),"11,560"
NEGERI SEMBILAN,P.129,KUALA PILAH,AZMAN BIN IDRIS,PARTI WARISAN SABAH (WARISAN),333
NEGERI SEMBILAN,P.129,KUALA PILAH,NOR AZMAN MOHAMAD,PAKATAN HARAPAN (PH),"14,940"
NEGERI SEMBILAN,P.129,KUALA PILAH,DATO' HJ ADNAN HJ ABU HASSAN,BARISAN NASIONAL (BN),"21,423"
NEGERI SEMBILAN,P.130,RASAH,NG KIAN NAM,BARISAN NASIONAL (BN),"19,447"
NEGERI SEMBILAN,P.130,RASAH,DAVID CHOONG,PERIKATAN NASIONAL (PN),"18,810"
NEGERI SEMBILAN,P.130,RASAH,CHA KEE CHIN,PAKATAN HARAPAN (PH),"81,434"
NEGERI SEMBILAN,P.131,REMBAU,HJ. NAZREE YUNUS,PERIKATAN NASIONAL (PN),"21,875"
NEGERI SEMBILAN,P.131,REMBAU,TOK MAT,BARISAN NASIONAL (BN),"53,075"
NEGERI SEMBILAN,P.131,REMBAU,JUFITRI JOHA,PAKATAN HARAPAN (PH),"33,178"
NEGERI SEMBILAN,P.131,REMBAU,CIKGU TINA,PARTI SOSIALIS MALAYSIA (PSM),779
NEGERI SEMBILAN,P.131,REMBAU,RAMLY BIN AWALLUDIN,PARTI PEJUANG TANAHAIR (PEJUANG),529
NEGERI SEMBILAN,P.132,PORT DICKSON,CIKGU HAJI RAFIEI MUSTAPHA,PERIKATAN NASIONAL (PN),"18,235"
NEGERI SEMBILAN,P.132,PORT DICKSON,DATUK P.KAMALANATHAN,BARISAN NASIONAL (BN),"18,412"
NEGERI SEMBILAN,P.132,PORT DICKSON,RANI KULUP,BEBAS (PEN),441
NEGERI SEMBILAN,P.132,PORT DICKSON,DR. AHMAD IDHAM BIN AHMAD NADZRI,PARTI PEJUANG TANAHAIR (PEJUANG),"1,084"
NEGERI SEMBILAN,P.132,PORT DICKSON,DATO' SERI AMINUDDIN BIN HARUN,PAKATAN HARAPAN (PH),"42,013"
NEGERI SEMBILAN,P.133,TAMPIN,MOHD ISAM BIN MOHD ISA,BARISAN NASIONAL (BN),"23,283"
NEGERI SEMBILAN,P.133,TAMPIN,USTAZ ZAMANI IBRAHIM,PARTI PEJUANG TANAHAIR (PEJUANG),781
NEGERI SEMBILAN,P.133,TAMPIN,MEJAR (B) ABDUL HALIM,PERIKATAN NASIONAL (PN),"14,962"
NEGERI SEMBILAN,P.133,TAMPIN,FAIZ FADZIL,PAKATAN HARAPAN (PH),"22,007"
MELAKA,P.134,MASJID TANAH,ABDUL HAKIM BIN ABDUL WAHID,BARISAN NASIONAL (BN),"21,193"
MELAKA,P.134,MASJID TANAH,MAS ERMIEYATI,PERIKATAN NASIONAL (PN),"25,604"
MELAKA,P.134,MASJID TANAH,MUTALIB UTHMAN,PARTI IKATAN DEMOKRATIK MALAYSIA (MUDA),"7,445"
MELAKA,P.134,MASJID TANAH,HANDRAWIRAWAN BIN ABU BAKAR,PARTI PEJUANG TANAHAIR (PEJUANG),507
MELAKA,P.135,ALOR GAJAH,SHAHRIL HAMDAN,BARISAN NASIONAL (BN),"27,288"
MELAKA,P.135,ALOR GAJAH,ADLY ZAHARI,PAKATAN HARAPAN (PH),"28,178"
MELAKA,P.135,ALOR GAJAH,PAK WAN (DATUK SERI MOHD REDZUAN BIN MD YUSOF),PERIKATAN NASIONAL (PN),"17,211"
MELAKA,P.135,ALOR GAJAH,MUHAMMAD NAZRIQ ABDUL RAHMAN,PARTI PEJUANG TANAHAIR (PEJUANG),323
MELAKA,P.136,TANGGA BATU,GHAZALI BIN ABU,PARTI PEJUANG TANAHAIR (PEJUANG),702
MELAKA,P.136,TANGGA BATU,SHAHRIL MAHMOOD,BEBAS (PEN),267
MELAKA,P.136,TANGGA BATU,BAKRI JAMALUDDIN,PERIKATAN NASIONAL (PN),"37,406"
MELAKA,P.136,TANGGA BATU,PROF. MADYA RUSNAH ALUAI,PAKATAN HARAPAN (PH),"28,557"
MELAKA,P.136,TANGGA BATU,DATUK LIM BAN HONG,BARISAN NASIONAL (BN),"25,095"
MELAKA,P.137,HANG TUAH JAYA,ADAM ADLI,PAKATAN HARAPAN (PH),"39,418"
MELAKA,P.137,HANG TUAH JAYA,SHEIKH IKHZAN,PARTI PEJUANG TANAHAIR (PEJUANG),739
MELAKA,P.137,HANG TUAH JAYA,MOHD RIDHWAN BIN MOHD ALI,BARISAN NASIONAL (BN),"30,780"
MELAKA,P.137,HANG TUAH JAYA,MOHD AZRUDIN BIN MD IDRIS,PERIKATAN NASIONAL (PN),"23,549"
MELAKA,P.138,KOTA MELAKA,KHOO POAY TIONG,PAKATAN HARAPAN (PH),"73,995"
MELAKA,P.138,KOTA MELAKA,KON QI YAO,BARISAN NASIONAL (BN),"20,686"
MELAKA,P.138,KOTA MELAKA,DATO' DR. NORAZLAN,BEBAS (PEN),925
MELAKA,P.138,KOTA MELAKA,SUHAIME BORHAN,PERIKATAN NASIONAL (PN),"27,575"
MELAKA,P.139,JASIN,DATUK HARUN,PAKATAN HARAPAN (PH),"21,674"
MELAKA,P.139,JASIN,ROSLAN BIN AHMAD,BARISAN NASIONAL (BN),"27,571"
MELAKA,P.139,JASIN,MOHD DAUD NASIR,PARTI PEJUANG TANAHAIR (PEJUANG),460
MELAKA,P.139,JASIN,TUAN GURU ZULKIFLI ISMAIL,PERIKATAN NASIONAL (PN),"27,893"
JOHOR,P.140,SEGAMAT,SYED HAIROUL,PARTI PEJUANG TANAHAIR (PEJUANG),"1,062"
JOHOR,P.140,SEGAMAT,TAN SRI M RAMASAMY,BARISAN NASIONAL (BN),"17,768"
JOHOR,P.140,SEGAMAT,R. YUNESWARAN,PAKATAN HARAPAN (PH),"23,437"
JOHOR,P.140,SEGAMAT,POOBALAN PONNUSAMY,PERIKATAN NASIONAL (PN),"8,385"
JOHOR,P.141,SEKIJANG,MD SALLEHEEN BIN MOHAMAD,BARISAN NASIONAL (BN),"17,207"
JOHOR,P.141,SEKIJANG,UZZAIR BIN ISMAIL,PERIKATAN NASIONAL (PN),"11,612"
JOHOR,P.141,SEKIJANG,DR. MOHD ZOHAR,PARTI WARISAN SABAH (WARISAN),339
JOHOR,P.141,SEKIJANG,DR. ZALIHA MUSTAFA,PAKATAN HARAPAN (PH),"18,941"
JOHOR,P.141,SEKIJANG,SAIFUL FAIZAL,PARTI PEJUANG TANAHAIR (PEJUANG),138
JOHOR,P.142,LABIS,ALVIN CHANG,PERIKATAN NASIONAL (PN),"5,312"
JOHOR,P.142,LABIS,PANG HOK LIONG,PAKATAN HARAPAN (PH),"16,133"
JOHOR,P.142,LABIS,CHUA TEE YONG,BARISAN NASIONAL (BN),"13,300"
JOHOR,P.143,PAGOH,DATUK SERI RAZALI IBRAHIM,BARISAN NASIONAL (BN),"14,426"
JOHOR,P.143,PAGOH,TAN SRI MUHYIDDIN BIN MD YASIN,PERIKATAN NASIONAL (PN),"24,986"
JOHOR,P.143,PAGOH,ISKANDAR SHAH,PAKATAN HARAPAN (PH),"14,979"
JOHOR,P.144,LEDANG,SYED IBRAHIM SYED NOH,PAKATAN HARAPAN (PH),"33,650"
JOHOR,P.144,LEDANG,ZAINAL BAHROM,BEBAS (POKOK),75
JOHOR,P.144,LEDANG,CIKGU YUNUS,BEBAS (PEN),140
JOHOR,P.144,LEDANG,RAFIDAH RIDWAN,PARTI PEJUANG TANAHAIR (PEJUANG),269
JOHOR,P.144,LEDANG,HAMIM SAMURI,BARISAN NASIONAL (BN),"23,881"
JOHOR,P.144,LEDANG,ZAIDI HJ MAJID,PERIKATAN NASIONAL (PN),"22,292"
JOHOR,P.145,BAKRI,R. S. CHELVA,PERIKATAN NASIONAL (PN),"17,222"
JOHOR,P.145,BAKRI,CHRIS LEE CHING YONG,BARISAN NASIONAL (BN),"17,382"
JOHOR,P.145,BAKRI,TAN HONG PIN,PAKATAN HARAPAN (PH),"36,636"
JOHOR,P.145,BAKRI,HARON JAFFAR,BEBAS (KUNCI),"1,900"
JOHOR,P.146,MUAR,MOHD HELMY ABD.LATIF,BARISAN NASIONAL (BN),"14,581"
JOHOR,P.146,MUAR,USTAZ ABDULLAH HUSIN,PERIKATAN NASIONAL (PN),"18,616"
JOHOR,P.146,MUAR,SYED SADDIQ,PARTI IKATAN DEMOKRATIK MALAYSIA (MUDA),"19,961"
JOHOR,P.147,PARIT SULONG,NORAINI AHMAD,BARISAN NASIONAL (BN),"25,740"
JOHOR,P.147,PARIT SULONG,DR KARIM,PERIKATAN NASIONAL (PN),"23,719"
JOHOR,P.147,PARIT SULONG,MOHD FAIZAL DOLAH,PAKATAN HARAPAN (PH),"13,495"
JOHOR,P.148,AYER HITAM,WEE KA SIONG,BARISAN NASIONAL (BN),"18,911"
JOHOR,P.148,AYER HITAM,SHEIKH OMAR,PAKATAN HARAPAN (PH),"15,948"
JOHOR,P.148,AYER HITAM,SYAFIQ AZIZ,PERIKATAN NASIONAL (PN),"11,833"
JOHOR,P.149,SRI GADING,CIKGU HUDA,PAKATAN HARAPAN (PH),"23,242"
JOHOR,P.149,SRI GADING,ZANARIYAH,PERIKATAN NASIONAL (PN),"18,475"
JOHOR,P.149,SRI GADING,DATUK LASSIM BURHAN,BARISAN NASIONAL (BN),"19,242"
JOHOR,P.149,SRI GADING,MAHDZIR BIN IBRAHIM,PARTI PEJUANG TANAHAIR (PEJUANG),305
JOHOR,P.150,BATU PAHAT,ONN BIN ABU BAKAR,PAKATAN HARAPAN (PH),"45,242"
JOHOR,P.150,BATU PAHAT,ZAHARI BIN OSMAN,PARTI RAKYAT MALAYSIA (PRM),263
JOHOR,P.150,BATU PAHAT,ISHAK SIRAJ,BARISAN NASIONAL (BN),"24,309"
JOHOR,P.150,BATU PAHAT,NIZAM BASHIR,PARTI PEJUANG TANAHAIR (PEJUANG),410
JOHOR,P.150,BATU PAHAT,DATO' RASHID HASNON,PERIKATAN NASIONAL (PN),"29,270"
JOHOR,P.151,SIMPANG RENGGAM,DR MASZLEE MALIK,PAKATAN HARAPAN (PH),"16,491"
JOHOR,P.151,SIMPANG RENGGAM,KAMAL,PARTI PEJUANG TANAHAIR (PEJUANG),251
JOHOR,P.151,SIMPANG RENGGAM,FAZRUL KAMAT,PERIKATAN NASIONAL (PN),"9,077"
JOHOR,P.151,SIMPANG RENGGAM,HASNI BIN MOHAMMAD,BARISAN NASIONAL (BN),"18,312"
JOHOR,P.152,KLUANG,GAN PING SIEU,BARISAN NASIONAL (BN),"23,395"
JOHOR,P.152,KLUANG,WONG SHU QI,PAKATAN HARAPAN (PH),"49,801"
JOHOR,P.152,KLUANG,Ir. U. RAMENDRAN,BEBAS (KERETA),404
JOHOR,P.152,KLUANG,DZULKARNAIN BIN ALIAS,PERIKATAN NASIONAL (PN),"22,021"
JOHOR,P.153,SEMBRONG,HISHAMMUDDIN HUSSEIN,BARISAN NASIONAL (BN),"22,572"
JOHOR,P.153,SEMBRONG,HASNI ABAS,PAKATAN HARAPAN (PH),"11,692"
JOHOR,P.153,SEMBRONG,JOE AZIZ,PERIKATAN NASIONAL (PN),"6,666"
JOHOR,P.154,MERSING,ZULAIKHA ZAIDI,PAKATAN HARAPAN (PH),"6,813"
JOHOR,P.154,MERSING,ISMAIL BIN DON,BEBAS (TRAKTOR),89
JOHOR,P.154,MERSING,ISLAHUDDIN ABAS,PERIKATAN NASIONAL (PN),"21,066"
JOHOR,P.154,MERSING,NURFATIMAH IBRAHIM,PARTI PEJUANG TANAHAIR (PEJUANG),209
JOHOR,P.154,MERSING,ABD LATIF BANDI,BARISAN NASIONAL (BN),"18,729"
JOHOR,P.155,TENGGARA,MANNDZRI BIN NASIB,BARISAN NASIONAL (BN),"21,185"
JOHOR,P.155,TENGGARA,AZHAR PALAL,PARTI PEJUANG TANAHAIR (PEJUANG),353
JOHOR,P.155,TENGGARA,KOLONEL NAZARI,PERIKATAN NASIONAL (PN),"18,194"
JOHOR,P.155,TENGGARA,ZURAIDAH CHEDAH,PAKATAN HARAPAN (PH),"11,618"
JOHOR,P.156,KOTA TINGGI,KHALED NORDIN,BARISAN NASIONAL (BN),"25,410"
JOHOR,P.156,KOTA TINGGI,RIDHWAN RASMAN,PERIKATAN NASIONAL (PN),"17,020"
JOHOR,P.156,KOTA TINGGI,ONN JAAFAR,PAKATAN HARAPAN (PH),"4,903"
JOHOR,P.157,PENGERANG,CIKGU IMAM NIZAR,PERIKATAN NASIONAL (PN),"16,728"
JOHOR,P.157,PENGERANG,AZALINA OTHMAN SAID,BARISAN NASIONAL (BN),"21,738"
JOHOR,P.157,PENGERANG,CHE ZAKARIA BIN MOHD SALLEH,PAKATAN HARAPAN (PH),"3,374"
JOHOR,P.158,TEBRAU,JIMMY PUAH WEE TSE,PAKATAN HARAPAN (PH),"83,959"
JOHOR,P.158,TEBRAU,MOHAMAD ISA BIN MOHAMAD BASIR,PERIKATAN NASIONAL (PN),"53,239"
JOHOR,P.158,TEBRAU,NICOLE WONG,BARISAN NASIONAL (BN),"30,767"
JOHOR,P.159,PASIR GUDANG,NOOR AZLEEN AMBROS,BARISAN NASIONAL (BN),"37,369"
JOHOR,P.159,PASIR GUDANG,HASSAN ABDUL KARIM,PAKATAN HARAPAN (PH),"71,233"
JOHOR,P.159,PASIR GUDANG,MOHAMAD FARID BIN ABDUL RAZAK,PERIKATAN NASIONAL (PN),"39,675"
JOHOR,P.159,PASIR GUDANG,MOHAMMAD RAFFI BERAN,PARTI PEJUANG TANAHAIR (PEJUANG),"1,003"
JOHOR,P.160,JOHOR BAHRU,JOHAN ROPI,BARISAN NASIONAL (BN),"27,211"
JOHOR,P.160,JOHOR BAHRU,MOHTAJ,PERIKATAN NASIONAL (PN),"22,075"
JOHOR,P.160,JOHOR BAHRU,HAIRY MAHMOOD,PARTI PEJUANG TANAHAIR (PEJUANG),"1,855"
JOHOR,P.160,JOHOR BAHRU,AKMAL NASIR,PAKATAN HARAPAN (PH),"43,252"
JOHOR,P.161,PULAI,NUR JAZLAN,BARISAN NASIONAL (BN),"31,726"
JOHOR,P.161,PULAI,LOH KAH YONG,PERIKATAN NASIONAL (PN),"20,677"
JOHOR,P.161,PULAI,DATUK SERI SALAHUDDIN AYUB,PAKATAN HARAPAN (PH),"64,900"
JOHOR,P.162,ISKANDAR PUTERI,JASHEN TAN,PERIKATAN NASIONAL (PN),"30,078"
JOHOR,P.162,ISKANDAR PUTERI,DATUK JASON TEOH,BARISAN NASIONAL (BN),"36,783"
JOHOR,P.162,ISKANDAR PUTERI,LIEW CHIN TONG,PAKATAN HARAPAN (PH),"96,819"
JOHOR,P.163,KULAI,CHUA JIAN BOON,BARISAN NASIONAL (BN),"29,506"
JOHOR,P.163,KULAI,TEO NIE CHING,PAKATAN HARAPAN (PH),"65,529"
JOHOR,P.163,KULAI,DATO' TAN,PERIKATAN NASIONAL (PN),"20,218"
JOHOR,P.164,PONTIAN,CIKGU ISA BIN AB HAMID,PERIKATAN NASIONAL (PN),"17,443"
JOHOR,P.164,PONTIAN,DATUK SERI AHMAD MASLAN,BARISAN NASIONAL (BN),"23,201"
JOHOR,P.164,PONTIAN,SHAZWAN ZDAINAL,PAKATAN HARAPAN (PH),"15,901"
JOHOR,P.164,PONTIAN,JAMALUDDIN MOHAMAD,PARTI PEJUANG TANAHAIR (PEJUANG),306
JOHOR,P.165,TANJUNG PIAI,NAJWAH HALIMAH,PERIKATAN NASIONAL (PN),"13,762"
JOHOR,P.165,TANJUNG PIAI,WEE JECK SENG,BARISAN NASIONAL (BN),"23,593"
JOHOR,P.165,TANJUNG PIAI,LIM WEI JIET,PARTI IKATAN DEMOKRATIK MALAYSIA (MUDA),"17,233"
W.P LABUAN,P.166,LABUAN,RAMLE,PARTI PEJUANG TANAHAIR (PEJUANG),90
W.P LABUAN,P.166,LABUAN,DATO' DR. SUHAILI ABDUL RAHMAN,PERIKATAN NASIONAL (PN),"8,124"
W.P LABUAN,P.166,LABUAN,BASHIR BIN ALIAS,BARISAN NASIONAL (BN),"7,416"
W.P LABUAN,P.166,LABUAN,DATUK WIRA DR RAMLI,PAKATAN HARAPAN (PH),"5,307"
W.P LABUAN,P.166,LABUAN,DATUK ROZMAN ISLI,PARTI WARISAN SABAH (WARISAN),"7,310"
W.P LABUAN,P.166,LABUAN,DAYANG RUSIMAH @ RAYNIE BINTI DATUK HJ. MOHD. DIN,PARTI BANGSA MALAYSIA (PBM),202
SABAH,P.167,KUDAT,RUDDY BIN AWAH,PARTI GABUNGAN RAKYAT SABAH (GRS),"14,356"
SABAH,P.167,KUDAT,PETRONELLA USUN,PARTI PEJUANG TANAHAIR (PEJUANG),282
SABAH,P.167,KUDAT,RASHID BIN ABDUL HARUN,PARTI WARISAN SABAH (WARISAN),"9,421"
SABAH,P.167,KUDAT,VERDON BIN BAHANDA,BEBAS (KUNCI),"16,323"
SABAH,P.167,KUDAT,THONNY CHEE,PAKATAN HARAPAN (PH),"4,726"
SABAH,P.168,KOTA MARUDU,MOHD AZMI BIN HJ ZULKIFLEE,PARTI PEJUANG TANAHAIR (PEJUANG),279
SABAH,P.168,KOTA MARUDU,SHAHRIZAL DENCI,PARTI IKATAN DEMOKRATIK MALAYSIA (MUDA),"3,225"
SABAH,P.168,KOTA MARUDU,NORMAN BIN TULANG (TAS),BEBAS (KUNCI),660
SABAH,P.168,KOTA MARUDU,JILID @ ZAINUDDIN BIN KUMINDING,PARTI WARISAN SABAH (WARISAN),"5,320"
SABAH,P.168,KOTA MARUDU,DR.MAXIMUS@JOHNITY ONGKILI,PARTI GABUNGAN RAKYAT SABAH (GRS),"16,144"
SABAH,P.168,KOTA MARUDU,DATUK WETROM BAHANDA,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),"24,318"
SABAH,P.169,KOTA BELUD,MADELI @ MODILY BIN BANGALI,PAKATAN HARAPAN (PH),"8,323"
SABAH,P.169,KOTA BELUD,DATUK SERI PANGLIMA ABD RAHMAN BIN DAHLAN,BARISAN NASIONAL (BN),"20,566"
SABAH,P.169,KOTA BELUD,MUNIRAH MAJILIS,PARTI WARISAN SABAH (WARISAN),"25,148"
SABAH,P.170,TUARAN,MADIUS TANGAU,PAKATAN HARAPAN (PH),"24,943"
SABAH,P.170,TUARAN,BOBY BIN LEWAT,BEBAS (KUNCI),393
SABAH,P.170,TUARAN,NOORTAIP BIN SUHAILI @ SUALEE,BEBAS (PEN),"2,008"
SABAH,P.170,TUARAN,JO-ANNA SUE HENLEY RAMPAS,PARTI WARISAN SABAH (WARISAN),"5,728"
SABAH,P.170,TUARAN,MUMININ B. NORBINSHA,PARTI PEJUANG TANAHAIR (PEJUANG),445
SABAH,P.170,TUARAN,JONISTON BANGKUAI,PARTI GABUNGAN RAKYAT SABAH (GRS),"24,710"
